User,Name,Date,changes
O. Morand,Loi_du_28_pluviôse_an_VIII,23/10/2007 10:28,5117
Richelieu,Conspiration_de_Bicêtre,20/10/2005 11:50,4858
Richelieu,Complot_de_l'Œillet,13/10/2005 01:02,4660
84.5.153.17,Complot_révolutionnaire_nantais_contre_les_modérés,16/09/2005 04:25,4500
Dauphiné,Armée_de_l'Ouest,10/12/2007 11:14,4111
Attis,Affaire_du_camp_de_Grenelle,22/10/2007 05:58,3656
Richelieu,Bataille_de_Cholet,16/09/2005 11:34,2753
90.3.198.103,Caroline_chérie_(1951),25/10/2006 08:46,2641
Dinkley,Cocarde_tricolore,23/07/2008 08:19,2238
82.225.234.108,Affaire_Réveillon,17/12/2005 09:01,2025
87.91.108.11,Caroline_chérie_(1951),16/10/2006 05:52,2024
Richelieu,Coup_d'État_du_18_fructidor_an_V,07/10/2005 04:33,2016
Richelieu,Bon_Albert_Briois_de_Beaumetz,24/02/2006 02:05,1920
Fredbo28,10e_régiment_de_hussards,17/12/2007 10:24,1806
Richelieu,Coup_d'État_du_30_prairial_an_VII_(18_juin_1799),07/10/2005 02:22,1758
-Strogoff-,Antoine_François_Péré,07/04/2008 07:52,1710
Richelieu,Bon_Albert_Briois_de_Beaumetz,25/12/2005 12:41,1703
Dinkley,Adoption_par_Louis_XVI_de_la_cocarde_tricolore,23/07/2008 08:26,1699
Sanao,Cocarde_tricolore,16/03/2008 10:17,1661
Clm03,Alexandre_François_Marie_de_Beauharnais,17/04/2005 09:56,1651
Sanao,Cocarde_tricolore,10/07/2008 07:54,1613
Nicod,Augustin-Jean-Charles_Clément,19/05/2008 08:40,1593
Attis,Conspiration_des_poignards,11/03/2008 10:07,1558
Estebanlenormand,Antoine_Alexandre_Hanicque,14/06/2008 07:48,1558
Badmood,Club_de_1789,01/04/2008 07:55,1451
Chicobot,Club_de_1789,28/04/2007 08:02,1411
DumZiBoT,Club_de_1789,13/02/2008 10:35,1384
Khaerr,13e_régiment_de_hussards,14/06/2007 12:29,1373
Richelieu,Adoption_par_Louis_XVI_de_la_cocarde_tricolore,18/06/2005 03:42,1351
Richelieu,Comité_d'instruction_publique,10/06/2005 02:54,1349
Kirtap,Conspiration_des_poignards,05/03/2008 09:20,1348
Khaerr,11e_régiment_de_hussards_(France),14/06/2007 01:40,1343
Chaoborus,Club_de_1789,09/10/2006 04:33,1326
Khaerr,12e_régiment_de_hussards,14/06/2007 01:00,1312
86.195.200.175,Caroline_chérie_(1951),29/11/2006 04:33,1311
Nicod,Augustin-Jean-Charles_Clément,06/04/2008 04:23,1300
Clémentsf,1er_régiment_de_dragons,07/11/2007 09:16,1282
Heurtelions,Bien_national,31/03/2008 08:19,1273
Briling,Club_de_1789,11/03/2006 09:30,1234
Attis,Conspiration_des_poignards,12/03/2008 09:37,1234
Siren,Bien_national,23/04/2005 08:12,1228
Attis,Antoine_Banassat,07/10/2007 08:42,1219
Khaerr,10e_régiment_de_hussards,14/06/2007 12:49,1195
Serein,Appel_nominal,10/06/2008 08:07,1185
Polmars,Alexandre_François_Marie_de_Beauharnais,27/04/2006 03:24,1173
Attis,Achille_Libéral_Treilhard,20/09/2006 07:01,1159
Godix,Charles_Antoine_Chasset,25/11/2007 02:50,1142
Keriluamox,Corps_législatif_(Consulat_et_Premier_Empire),01/01/2007 08:49,1122
Fredbo28,1er_régiment_de_dragons,09/12/2007 11:53,1113
Archeos,Contributions_directes,04/12/2005 07:32,1086
Nicod,Augustin-Jean-Charles_Clément,18/05/2008 11:56,1042
Richelieu,Conseil_exécutif_(Révolution_française),05/11/2005 02:27,976
Raoul75,Auguste_Marie_Raymond_d'Arenberg,11/10/2006 02:09,973
Philippenusbaumer,Benjamin_Zix,15/02/2007 11:03,961
Estebanlenormand,Alexandre_François_Marie_de_Beauharnais,19/07/2007 07:35,944
Nicod,Comité_ecclésiastique,27/05/2008 02:13,924
Ga-massoni,12e_régiment_de_hussards,13/07/2008 04:46,896
Serein,Augustin-Jean-Charles_Clément,07/04/2008 07:30,884
Dauphiné,Armée_de_l'Ouest,10/12/2007 11:22,880
81.220.243.109,Carle_Vernet,04/08/2007 07:41,872
84.5.244.223,Complot_de_Charenton,03/11/2005 04:37,857
Heurtelions,Bien_national,31/03/2008 08:38,850
Hughes brivet,Carle_Vernet,01/05/2008 06:09,837
Heurtelions,Citoyen_actif,20/01/2008 02:20,817
Probot,Alexandre_François_Marie_de_Beauharnais,24/01/2006 08:14,814
Aymeric78,Coup_d'État_du_18_fructidor_an_V,16/02/2007 05:54,811
Ptyx,Bonnet_phrygien,18/06/2007 06:46,805
Fourvin,Caroline_chérie_(1951),24/09/2005 11:40,799
Fredbo28,12e_régiment_de_hussards,02/12/2007 04:55,788
Nicod,Comité_ecclésiastique,06/04/2008 03:16,776
194.158.98.36,Conseil_exécutif_(Révolution_française),22/02/2006 10:35,758
Ske,Bonnet_phrygien,19/10/2004 12:11,751
87.91.108.11,Caroline_chérie_(1951),27/10/2006 06:31,743
Fredbo28,11e_régiment_de_hussards_(France),26/11/2007 09:43,742
Ga-massoni,12e_régiment_de_hussards,13/07/2008 05:00,723
Le gorille,Charles_Antoine_Chasset,23/08/2006 02:07,722
Fredbo28,13e_régiment_de_hussards,28/11/2007 06:00,722
Richelieu,Club_de_1789,15/11/2005 08:46,717
Nicod,Augustin-Jean-Charles_Clément,19/05/2008 08:51,716
83.156.170.20,Bonnet_phrygien,21/01/2007 09:54,708
Nouky-and-co,Accapareurs,11/12/2006 08:12,699
82.124.29.133,André_Joseph_Abrial,28/01/2006 03:40,696
Massoni,1er_régiment_de_dragons,30/09/2007 01:44,637
Sanao,Cocarde_tricolore,16/03/2008 09:42,636
Polmars,Bien_national,19/09/2006 09:19,625
Richelieu,Certificat_de_civisme,26/12/2005 01:32,579
Attis,Conspiration_des_poignards,11/03/2008 03:53,575
Richelieu,Club_des_Impartiaux,11/11/2005 01:23,567
86.198.223.234,Chouans_!,21/08/2007 06:04,559
